currency, time
144039.607263,00:03
143734.056717,00:18
143780.47647,00:33
142867.923951,00:48
142784.20590799997,01:03
142351.176454,01:19
141848.646622,01:34
142637.26541700002,01:49
141241.164572,02:04
142916.55944399998,02:19
142277.650815,02:34
141331.492906,02:49
139661.41581,03:04
140450.920901,03:20
141168.562158,03:35
140863.713263,03:50
141365.726089,04:05
141324.43946700002,04:20
141014.679015,04:35
140836.275016,04:50
141052.863601,05:05
140491.17351099997,05:21
140902.488713,05:36
140481.6089,05:51
140755.400506,06:06
139496.49089599997,06:21
138971.02815499998,06:36
138335.147704,06:51
138216.420969,07:07
138267.973853,07:22
138155.45119,07:37
136113.314419,07:52
136443.681253,08:07
135471.266825,08:22
135485.85377999998,08:37
136251.87202699998,08:52
135755.915557,09:08
137349.29112,09:23
136415.689071,09:38
135350.767498,09:53
137011.09533799998,10:08
136136.653547,10:23
136167.083043,10:38
135349.807344,10:53
131726.77701199998,11:09
131978.411218,11:24
132008.61914,11:39
132832.212294,11:54
131739.45324200002,12:09
132926.517084,12:24
133141.671716,12:39
132559.518872,12:54
132377.85806600002,13:09
131930.01142,13:25
131433.082164,13:40
129818.392976,13:55
131445.178178,14:10
135272.95997,14:25
