currency, time
39004.47,00:03
38921.73,00:18
38934.3,00:33
38687.19,00:48
38664.52,01:03
38547.26,01:19
38411.18,01:34
38624.73,01:49
38246.68,02:04
38700.36,02:19
38527.35,02:34
38271.14,02:49
37818.9,03:04
38032.69,03:20
38227.02,03:35
38144.47,03:50
38280.41,04:05
38269.23,04:20
38185.35,04:35
38137.04,04:50
38195.69,05:05
38043.59,05:21
38154.97,05:36
38041.0,05:51
38115.14,06:06
37774.24,06:21
37631.95,06:36
37459.76,06:51
37427.61,07:07
37441.57,07:22
37411.1,07:37
36858.11,07:52
36947.57,08:07
36684.25,08:22
36688.2,08:37
36895.63,08:52
36761.33,09:08
37192.8,09:23
36939.99,09:38
36651.62,09:53
37101.22,10:08
36864.43,10:23
36872.67,10:38
36651.36,10:53
35670.28,11:09
35738.42,11:24
35746.6,11:39
36129.09,11:54
35831.87,12:09
36154.74,12:24
36213.26,12:39
36054.92,12:54
36005.51,13:09
35883.7,13:25
35748.54,13:40
35309.36,13:55
35751.83,14:10
36792.95,14:25
