currency, time
3762.93,00:03
3736.88,00:18
3746.26,00:33
3784.54,00:49
3689.42,01:04
3657.81,01:19
3648.02,01:34
3716.62,01:49
3745.45,02:04
3795.5,02:19
3778.81,02:34
3795.25,02:49
3824.54,03:05
3861.49,03:20
3884.59,03:35
3874.97,03:50
3876.47,04:05
3820.4,04:20
3820.64,04:35
3832.6,04:50
3816.86,05:05
3811.14,05:20
3822.11,05:36
3797.82,05:51
3803.69,06:06
3825.76,06:21
3812.93,06:36
3795.92,06:51
3798.41,07:06
3832.1,07:21
3823.38,07:36
3849.85,07:51
3861.11,08:07
3834.79,08:22
3818.51,08:37
3812.65,08:52
3839.14,09:07
3875.63,09:22
3891.26,09:37
3881.71,09:52
3891.21,10:07
3898.88,10:23
3887.63,10:38
3911.82,10:53
3934.48,11:08
3946.27,11:23
3980.79,11:38
3965.99,11:53
3957.97,12:08
3961.62,12:23
3967.22,12:38
3982.93,12:54
4014.5,13:09
4022.04,13:24
4003.98,13:39
4019.23,13:54
4007.87,14:09
3989.08,14:24
3997.29,14:39
3993.18,14:54
4001.46,15:10
3977.18,15:25
4014.76,15:40
4056.6,15:55
4058.52,16:10
4045.62,16:25
4051.82,16:40
4061.34,16:49
4096.39,17:04
4161.7,17:20
4149.98,17:30
4153.94,17:45
4141.21,18:00
4167.21,18:16
4142.68,18:32
4150.09,18:38
4103.98,18:53
4124.62,19:08
4136.62,19:13
4125.65,19:28
4124.41,19:43
4116.42,19:58
