cpu usage, time
1.5,00:03
0.7,00:18
2.7,00:33
1.5,00:48
1.0,01:04
1.2,01:19
1.3,01:34
1.5,01:49
0.7,02:04
1.0,02:19
0.7,02:34
0.5,02:49
0.5,03:05
2.2,03:20
0.5,03:35
1.0,03:50
1.2,04:05
1.3,04:20
1.3,04:35
1.3,04:50
1.5,05:06
0.8,05:21
0.5,05:36
1.3,05:51
1.3,06:06
1.3,06:21
1.2,06:36
1.2,06:52
0.8,07:07
1.2,07:22
1.2,07:37
0.5,07:52
1.2,08:07
1.5,08:22
1.2,08:37
1.3,08:53
0.5,09:08
1.2,09:23
1.2,09:38
1.0,09:53
1.2,10:08
1.2,10:23
1.3,10:38
1.0,10:54
1.0,11:09
0.5,11:24
1.5,11:39
3.7,11:54
4.2,12:09
4.0,12:24
10.0,12:39
9.3,12:54
34.2,13:10
27.6,13:25
27.0,13:40
27.0,13:55
27.6,14:10
26.9,14:25
