currency, time
0.33819,00:03
0.33529,00:18
0.33676,00:33
0.33386,00:48
0.33312,01:04
0.33106,01:19
0.33138,01:34
0.33363,01:49
0.33012,02:04
0.33778,02:19
0.33309,02:34
0.33126,02:49
0.3273,03:05
0.32906,03:20
0.33074,03:35
0.32986,03:50
0.33166,04:05
0.3322,04:20
0.33107,04:35
0.33188,04:50
0.33134,05:06
0.33156,05:21
0.33127,05:36
0.33364,05:51
0.34008,06:06
0.34044,06:21
0.33543,06:36
0.33415,06:51
0.33332,07:07
0.33384,07:22
0.33309,07:37
0.32221,07:52
0.32328,08:07
0.31266,08:22
0.31369,08:37
0.31602,08:52
0.31292,09:08
0.32005,09:23
0.32051,09:38
0.31746,09:53
0.32296,10:08
0.32341,10:23
0.32422,10:38
0.32143,10:53
0.31432,11:09
0.31074,11:24
0.31226,11:39
0.31498,11:54
0.31174,12:09
0.31489,12:24
0.31415,12:39
0.31205,12:54
0.31183,13:10
0.31088,13:25
0.30793,13:40
0.30423,13:55
0.30992,14:10
0.31407,14:25
