currency, time
3307.2,00:08
3324.51,00:23
3239.59,00:38
3218.74,00:54
3267.32,01:09
3247.45,01:24
3350.23,01:39
3526.84,07:17
3530.69,07:22
3535.42,07:33
3528.11,07:37
3551.65,07:48
3548.21,07:52
3534.77,08:03
3541.2,08:07
3559.32,08:18
3557.99,08:22
3558.73,08:33
3543.53,08:38
3518.42,08:48
3518.24,08:53
3480.87,09:03
3487.24,09:08
3491.57,09:18
3494.03,09:23
3499.75,09:33
3502.46,09:38
3512.59,09:40
3512.59,09:41
3513.1,09:43
3505.36,09:58
3514.35,10:13
3530.62,10:28
3506.14,10:43
3500.35,10:59
3483.73,11:14
3462.39,11:29
3475.16,11:44
3470.88,11:59
3466.67,12:14
3488.21,12:29
3508.52,12:44
3505.26,13:00
3504.34,13:15
3509.45,13:30
3524.45,13:45
3547.4,14:00
3501.03,14:15
3502.85,14:30
3460.32,14:45
3377.23,15:00
3371.94,15:16
3355.67,15:31
3420.78,15:46
3402.64,16:01
3342.04,16:16
3343.55,16:31
3292.67,16:46
3306.83,17:01
3352.13,17:16
3383.0,17:32
3355.59,17:47
3355.7,18:02
3348.1,18:17
3354.12,18:32
3422.66,18:47
3434.45,19:02
3423.71,19:17
3441.29,19:33
3425.27,19:48
3409.88,20:03
3379.02,20:18
3390.52,20:33
3362.38,20:48
3362.45,21:03
3359.56,21:18
3360.47,21:33
3409.64,21:49
3421.26,22:04
3389.94,22:19
3423.49,22:34
3444.1,22:49
3440.64,23:04
3457.79,23:19
3447.62,23:34
3411.92,23:49
