ram usage, time
18.5,00:03
18.5,00:18
18.5,00:33
18.9,00:48
19.3,01:03
19.2,01:19
19.2,01:34
19.3,01:49
19.3,02:04
19.3,02:19
19.5,02:34
19.4,02:49
19.5,03:04
19.5,03:20
19.5,03:35
19.5,03:50
19.5,04:05
19.3,04:20
19.3,04:35
19.3,04:50
19.4,05:05
19.3,05:21
19.4,05:36
19.3,05:51
19.3,06:06
19.4,06:21
19.4,06:36
19.5,06:51
19.4,07:07
19.2,07:22
19.3,07:37
19.3,07:52
19.4,08:07
19.3,08:22
19.4,08:37
19.3,08:52
19.2,09:08
19.3,09:23
19.3,09:38
19.4,09:53
19.6,10:08
19.4,10:23
19.5,10:38
19.5,10:53
19.5,11:09
19.6,11:24
19.5,11:39
19.5,11:54
19.5,12:09
19.5,12:24
49.8,12:39
61.4,12:54
65.7,13:10
65.7,13:25
17.1,13:40
17.2,13:55
17.3,14:10
17.3,14:25
